,index,code,time,money,year
1233,1697,002161.SZ,2019/6/28,7793922.44,2019
1237,405,002161.SZ,2019/10/9,2206098.79,2019
1239,1741,002168.SZ,2019/6/19,1969000,2019
1248,144,002168.SZ,2019/11/1,145644580.5,2019
1250,3119,002169.SZ,2019/3/25,5672135,2019
1259,404,002169.SZ,2019/10/9,90745892,2019
1261,6730,002171.SZ,2018/3/15,49255471,2018
1263,6702,002171.SZ,2018/3/24,101747402.7,2018
1265,158,002171.SZ,2019/10/31,6575770,2019
1268,4769,002172.SZ,2018/12/21,4831422,2018
1274,2496,002172.SZ,2019/5/7,44177973.48,2019
1276,6802,002174.SZ,2018/2/1,4987200,2018
1289,4703,002174.SZ,2018/12/27,437781624.6,2018
1293,3112,002179.SZ,2019/3/27,8178815.2,2019
1302,143,002179.SZ,2019/11/1,3598114.9,2019
1305,6721,002191.SZ,2018/3/17,13526437.85,2018
1337,3241,002191.SZ,2019/3/6,230291282.1,2019
1339,4824,002194.SZ,2018/12/15,6301637.3,2018
1351,85,002194.SZ,2019/11/2,39197729.18,2019
1355,5926,002197.SZ,2018/9/20,3107799.67,2018
1365,1470,002197.SZ,2019/7/3,61092100,2019
1367,4768,002203.SZ,2018/12/21,4437697,2018
1375,1792,002203.SZ,2019/6/11,294211112.4,2019
1377,5379,002206.SZ,2018/11/9,1096750,2018
1394,5680,002212.SZ,2018/10/17,20380286.3,2018
1399,3217,002215.SZ,2019/3/8,13251568.52,2019
1408,84,002215.SZ,2019/11/2,87700062.58,2019
1410,5215,002216.SZ,2018/11/30,651731,2018
1415,3002,002216.SZ,2019/4/2,50291290.08,2019
1417,5615,002221.SZ,2018/10/30,30738227,2018
1433,5953,002229.SZ,2018/9/13,4999437.19,2018
1445,899,002229.SZ,2019/8/22,8858611.29,2019
1449,6402,002233.SZ,2018/7/6,10432000,2018
1455,4767,002233.SZ,2018/12/21,31499697.16,2018
1457,528,002233.SZ,2019/9/18,15845800,2019
1459,82,002233.SZ,2019/11/2,53760500,2019
1461,1769,002236.SZ,2019/6/14,49993129.5,2019
1465,250,002236.SZ,2019/10/10,150000682.9,2019
1467,5646,002240.SZ,2018/10/25,2999174,2018
1473,5728,002241.SZ,2018/10/11,30956904,2018
1479,3194,002241.SZ,2019/3/12,356826897.3,2019
1481,6838,002242.SZ,2017/12/6,8695816.6,2017
1484,6778,002242.SZ,2018/2/7,85310061.03,2018
1512,1305,002264.SZ,2019/7/23,1626200,2019
1517,7060,002271.SZ,2016/1/13,25349183.44,2016
1524,6994,002271.SZ,2016/7/1,117646980.6,2016
1526,6174,002271.SZ,2018/8/15,17837628.13,2018
1540,1265,002271.SZ,2019/8/1,351510210.9,2019
1542,5282,002273.SZ,2018/11/24,4030500,2018
1548,2488,002273.SZ,2019/5/7,100060995.4,2019
1551,578,002273.SZ,2019/9/5,883800,2019
1553,80,002273.SZ,2019/11/2,176.76,2019
1555,5634,002275.SZ,2018/10/29,985284,2018
1569,555,002275.SZ,2019/9/10,204005652,2019
1571,6719,002277.SZ,2018/3/20,9205092.74,2018
1584,3627,002277.SZ,2019/2/28,100062002.5,2019
1587,3160,002279.SZ,2019/3/16,7997567.3,2019
1595,79,002279.SZ,2019/11/2,34396947.53,2019
1598,6606,002298.SZ,2018/5/4,4543941.45,2018
1608,4898,002298.SZ,2018/12/7,145489696.1,2018
1611,6200,002301.SZ,2018/8/9,1999248,2018
1623,1468,002301.SZ,2019/7/3,106441869.6,2019
1626,6149,002303.SZ,2018/8/25,12698606.91,2018
1628,5897,002303.SZ,2018/9/27,48309810.06,2018
1632,5700,002308.SZ,2018/10/13,19999949.48,2018
1642,1690,002308.SZ,2019/6/29,50049815.87,2019
1644,4169,002312.SZ,2019/1/24,1313280,2019
1651,1707,002312.SZ,2019/6/26,48689863.1,2019
1654,5287,002317.SZ,2018/11/23,6568702.74,2018
1661,2486,002317.SZ,2019/5/7,100009162.1,2019
1663,6696,002322.SZ,2018/3/27,16078845.91,2018
1682,7074,002327.SZ,2016/1/5,296789700.9,2016
1683,7058,002327.SZ,2016/1/15,3209962.57,2016
1685,3670,002327.SZ,2019/2/20,2623244,2019
1695,7067,002328.SZ,2016/1/6,15125837.18,2016
1701,5281,002334.SZ,2018/11/24,43776117.24,2018
1706,1335,002339.SZ,2019/7/16,5971207.12,2019
1711,78,002339.SZ,2019/11/2,26899416.55,2019
1713,4701,002344.SZ,2018/12/27,4409496,2018
1718,6190,002345.SZ,2018/8/10,24761375,2018
1725,4139,002345.SZ,2019/1/29,100553617,2019
1727,4765,002347.SZ,2018/12/21,1012112,2018
1734,5925,002349.SZ,2018/9/20,7067819,2018
1744,5390,002350.SZ,2018/11/8,21039034.88,2018
1758,163,002350.SZ,2019/10/30,86736372.21,2019
1761,3116,002352.SZ,2019/3/26,24292060.98,2019
1763,2714,002352.SZ,2019/4/9,370707939,2019
1765,6219,002355.SZ,2018/8/7,8119379.66,2018
1777,1355,002355.SZ,2019/7/10,30184780.52,2019
1779,5930,002360.SZ,2018/9/19,907838,2018
1789,4253,002360.SZ,2019/1/12,100056870,2019
1791,6373,002361.SZ,2018/7/18,2999099,2018
1796,5614,002361.SZ,2018/10/30,95541165.5,2018
1798,4921,002361.SZ,2018/12/6,988665,2018
1811,6576,002364.SZ,2018/5/18,30480066,2018
1816,6063,002364.SZ,2018/9/4,69499843.98,2018
1819,5299,002364.SZ,2018/11/22,577016.38,2018
1825,3330,002364.SZ,2019/3/5,149974597.3,2019
1838,2666,002365.SZ,2019/4/26,5198166,2019
1843,1264,002365.SZ,2019/8/1,40146521.31,2019
1845,624,002365.SZ,2019/9/4,6354643.77,2019
1849,141,002365.SZ,2019/11/1,1940584.83,2019
1851,4794,002367.SZ,2018/12/19,2385803,2018
1857,1859,002367.SZ,2019/6/5,29691098.22,2019
1860,4180,002369.SZ,2019/1/23,12256105.09,2019
1871,76,002369.SZ,2019/11/2,62996017.86,2019
1873,4168,002375.SZ,2019/1/24,11191293.77,2019
1877,3176,002375.SZ,2019/3/14,188787862.6,2019
1879,5650,002380.SZ,2018/10/24,12255784.78,2018
1884,4763,002380.SZ,2018/12/21,47743982.22,2018
1886,6312,002381.SZ,2018/8/1,5942418.05,2018
1898,6513,002385.SZ,2018/6/7,32806596.4,2018
1906,5331,002385.SZ,2018/11/17,315750957.6,2018
1913,3098,002388.SZ,2019/3/29,1768375,2019
1921,247,002388.SZ,2019/10/10,8231547.31,2019
1923,6804,002390.SZ,2018/1/25,37320448.41,2018
1929,6584,002390.SZ,2018/5/10,262665238.7,2018
1931,3496,002390.SZ,2019/3/2,25234904,2019
1943,75,002390.SZ,2019/11/2,262509325.2,2019
1945,874,002391.SZ,2019/8/29,15052089.02,2019
1949,392,002391.SZ,2019/10/9,171503236.2,2019
1951,5280,002397.SZ,2018/11/24,11750597.16,2018
1965,7073,002399.SZ,2016/1/5,116062642.9,2016
1971,6728,002403.SZ,2018/3/16,7179933.41,2018
1984,3329,002403.SZ,2019/3/5,94835000.7,2019
1986,1323,002404.SZ,2019/7/18,5771578,2019
1991,74,002404.SZ,2019/11/2,34223825.9,2019
1993,4835,002405.SZ,2018/12/14,15588040.26,2018
1998,2477,002405.SZ,2019/5/7,30001482.59,2019
2004,2134,002408.SZ,2019/5/31,4493593,2019
2011,73,002408.SZ,2019/11/2,165491366.9,2019
2013,6331,002413.SZ,2018/7/28,9559938.79,2018
2016,6154,002413.SZ,2018/8/23,90939724.46,2018
2018,5229,002413.SZ,2018/11/29,8131736.19,2018
2033,6727,002421.SZ,2018/3/16,10011340.39,2018
2037,7051,002422.SZ,2016/1/28,7525923.75,2016
2039,7023,002422.SZ,2016/3/17,95646987.05,2016
2041,6943,002422.SZ,2017/5/12,9172167.5,2017
2051,6767,002422.SZ,2018/2/23,33317447.68,2018
2053,4885,002422.SZ,2018/12/8,21556893,2018
2066,72,002422.SZ,2019/11/2,85459333.23,2019
2069,3643,002429.SZ,2019/2/26,7498008,2019
2073,2239,002429.SZ,2019/5/15,90476539.41,2019
2077,6604,002434.SZ,2018/5/4,16269500,2018
2085,5098,002434.SZ,2018/12/4,133105040.7,2018
2087,4687,002434.SZ,2018/12/28,91474878.4,2018
2090,3626,002434.SZ,2019/2/28,280012606.5,2019
2092,6011,002435.SZ,2018/9/5,42241322.56,2018
2098,4167,002435.SZ,2019/1/24,74901663.75,2019
2101,5298,002439.SZ,2018/11/22,42340429.34,2018
2114,5265,002444.SZ,2018/11/27,6166700,2018
2127,140,002444.SZ,2019/11/1,105492690.2,2019
2129,2716,002448.SZ,2019/4/8,41242748.28,2019
2139,5243,002455.SZ,2018/11/28,2169504,2018
2148,2224,002455.SZ,2019/5/16,65006867.3,2019
2151,5403,002456.SZ,2018/11/6,10068578.05,2018
2156,3184,002456.SZ,2019/3/13,50009244.93,2019
2158,4166,002457.SZ,2019/1/24,7594622.52,2019
2168,6928,002472.SZ,2017/6/29,10650700,2017
2171,6919,002472.SZ,2017/7/15,98832900,2017
2176,6747,002478.SZ,2018/3/6,3250697,2018
2184,6120,002478.SZ,2018/9/1,131030100,2018
2186,4736,002479.SZ,2018/12/24,4999039.5,2018
2196,389,002479.SZ,2019/10/9,31543229.5,2019
2198,6811,002481.SZ,2018/1/16,9673082.67,2018
2205,6474,002481.SZ,2018/6/23,81698947.33,2018
2217,5648,002488.SZ,2018/10/24,33742808.8,2018
2226,2980,002488.SZ,2019/4/2,261716802.8,2019
2229,1855,002488.SZ,2019/6/5,3001648,2019
2233,387,002488.SZ,2019/10/9,1639389.04,2019
2235,1334,002491.SZ,2019/7/16,29933942.56,2019
2239,172,002491.SZ,2019/10/29,45901157.44,2019
2241,3488,002494.SZ,2019/3/2,5872852,2019
2247,6766,002497.SZ,2018/2/27,35999894.75,2018
2249,3214,002497.SZ,2019/3/8,11922990,2019
2250,3149,002497.SZ,2019/3/19,88077352.78,2019
2252,6253,002503.SZ,2018/8/3,9198130.81,2018
2264,1322,002503.SZ,2019/7/18,116234052.5,2019
2266,5457,002511.SZ,2018/11/3,21645048.94,2018
2267,4974,002511.SZ,2018/12/5,72936498.41,2018
2270,4803,002515.SZ,2018/12/18,6943868.73,2018
2284,385,002515.SZ,2019/10/9,171409894.8,2019
2286,6362,002516.SZ,2018/7/21,10600217.32,2018
2300,1361,002516.SZ,2019/7/6,99991134.35,2019
2302,5726,002517.SZ,2018/10/11,4805300,2018
2308,3183,002517.SZ,2019/3/13,8251000,2019
2311,6885,002519.SZ,2017/9/29,10862158.13,2017
2318,6772,002519.SZ,2018/2/8,200586910,2018
2320,5645,002519.SZ,2018/10/25,2083950.4,2018
2332,384,002519.SZ,2019/10/9,37620876.33,2019
2334,5242,002520.SZ,2018/11/28,4001376.66,2018
2348,70,002520.SZ,2019/11/2,109951188.2,2019
2350,4872,002531.SZ,2018/12/11,15451286.44,2018
